mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
manganeseferrites,Modified,Mn4,20,,2,25,20.09,0.4,4,110,7.71
manganeseferrites,Modified,Mn4,20,,2,25,28.14,0.4,4,110,9.96
manganeseferrites,Modified,Mn4,20,,2,25,36.05,0.4,4,110,16.38
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,1.46,0.2,0.5,150,11.59
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,2.85,0.2,0.5,150,14.38
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,6.14,0.2,0.5,150,18.81
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,20.6,0.2,0.5,150,29.97
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,46.95,0.2,0.5,150,34.47
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,76.72,0.2,0.5,150,37.5
MOF,Unmodified,MIL-125?Ti?,1422.03,,7,25,101.29,0.2,0.5,150,38.49
MOF,Modified,FeCo,147.82,0.058,4.3,25,1.63,0.5,12,120,26.11
MOF,Modified,FeCo,147.82,0.058,4.3,25,9.82,0.5,12,120,77.71
MOF,Modified,FeCo,147.82,0.058,4.3,25,20.55,0.5,12,120,119.43
MOF,Modified,FeCo,147.82,0.058,4.3,25,40.03,0.5,12,120,165.71
MOF,Modified,FeCo,147.82,0.058,4.3,25,60.95,0.5,12,120,201.57
MOF,Modified,FeCo,147.82,0.058,4.3,25,90.78,0.5,12,120,220.47
MOF,Modified,FeCo,147.82,0.058,4.3,25,135.37,0.5,12,120,230.34
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,0.57,1,1,130,0.3
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,1.01,1,1,130,0.53
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,1.36,1,1,130,0.47
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,2.03,1,1,130,0.6
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,4.09,1,1,130,0.93
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,7.89,1,1,130,1.38
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,11.12,1,1,130,2.12
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,17.04,1,1,130,2.57
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,19.58,1,1,130,3.32
sugarcanebagasseactivatedcarbon,Modified,magneticFe3O4,,,6.5,25,23.79,1,1,130,3.88
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,1.95,1,24,80,9.19
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,5.42,1,24,80,14.85
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,10.1,1,24,80,22.72
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,21.4,1,24,80,32.6
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,27.62,1,24,80,44.45
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,44.73,1,24,80,50
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,53.69,1,24,80,50.23
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,101.15,1,24,80,56.88
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,140.46,1,24,80,69.75
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,241.2,1,24,80,70.3
strawactivatedcarbon,Modified,ironhydroxide-manganese,507.5,0.56,3,25,343.54,1,24,80,68.86
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,1.84,0.1,24,25,8.94
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,3.67,0.1,24,25,11.65
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,9.61,0.1,24,25,14.7
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,30.62,0.1,24,25,19.9
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,50.27,0.1,24,25,26.58
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,76.77,0.1,24,25,30.47
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,135.71,0.1,24,25,35.93
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,208.13,0.1,24,25,37.08
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,308.42,0.1,24,25,38.1
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,381.52,0.1,24,25,37.08
Non-oxidativegraphene,Modified,magnetite,189.94,,7,25,526.36,0.1,24,25,38.05
pristinebiochar,Modified,Fe(III),181,,,25,0.26,1,24,500,0.17
pristinebiochar,Modified,Fe(III),181,,,25,0.49,1,24,500,0.32
pristinebiochar,Modified,Fe(III),181,,,25,1.01,1,24,500,0.61
pristinebiochar,Modified,Fe(III),181,,,25,2,1,24,500,0.68
pristinebiochar,Modified,Fe(III),181,,,25,5.01,1,24,500,0.89
pristinebiochar,Modified,FeMn,185,,,25,0.26,1,24,500,0.22
pristinebiochar,Modified,FeMn,185,,,25,0.51,1,24,500,0.43
pristinebiochar,Modified,FeMn,185,,,25,1.01,1,24,500,0.62
pristinebiochar,Modified,FeMn,185,,,25,2.01,1,24,500,0.79
pristinebiochar,Modified,FeMn,185,,,25,4.99,1,24,500,1.1
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,30,0.55,,,500,2.96
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,30,2.27,,,500,4.25
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,30,4.23,,,500,5.24
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,30,6.42,,,500,5.62
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,30,11.05,,,500,6.71
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,30,14.66,,,500,8.71
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,45,0.75,,,500,2.77
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,45,2.34,,,500,4.16
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,45,4.37,,,500,4.88
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,45,6.65,,,500,5.25
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,45,11.37,,,500,5.78
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,45,15.54,,,500,7.07
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,60,0.19,,,500,3.64
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,60,1.57,,,500,5.41
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,60,3.85,,,500,6.06
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,60,5.58,,,500,7.25
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,60,10.39,,,500,7.42
ricehuskbiochar,Modified,FeAlBimetallicOxide,,,,60,15.29,,,500,7.47
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,0.1,2,24,600,0.0964
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,0.5,2,24,600,0.275
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,2,2,24,600,1.002
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,5,2,24,600,1.669
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,10,2,24,600,1.951
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,25,2,24,600,2.077
biochar,Modified,Iron-impregtedbiochar,16,,5.8,20,50,2,24,600,2.107
biochar,Modified,Zerovalentiron-redoakbiocharcomplexes(ZVI-RO),20.1,,7.1,21.5,0.12,1,48,900,0.902
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,1.22,1,48,900,3.66
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,5.3,1,48,900,4.61
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,9.5,1,48,900,5.84
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,13.4,1,48,900,7.41
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,17.1,1,48,900,7.69
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,25,1,0.076,900,1.04
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,25,1,4.02,900,12.7
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,25,1,24.2,900,15.2
biochar,Modified,ZVI-RO-0.05g,20.1,,7.1,21.5,25,1,48.5,900,15.9
biochar,Modified,Zerovalentiron-Switchgrass(SG),20.1,,7.1,21.5,0.18,1,48,900,4.7
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,1.28,1,48,900,8.5
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,3.65,1,48,900,11.4
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,6.61,1,48,900,14.1
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,9.86,1,48,900,15.3
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,25,1,0.076,900,1.93
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,25,1,4.02,900,3.76
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,25,1,24.2,900,4.85
biochar,Modified,ZVI-SG-0.05g,20.1,,7.1,21.5,25,1,48.5,900,7.32
biochar,Unmodified,perillaleaf-derivedbiocharsBC300,3.2,0.01,7,20,1.21,1,2,300,1.96
biochar,Unmodified,BC300,3.2,0.01,7,20,1.81,1,2,300,2.39
biochar,Unmodified,BC300,3.2,0.01,7,20,2.39,1,2,300,2.67
biochar,Unmodified,BC300,3.2,0.01,7,20,3.39,1,2,300,2.85
biochar,Unmodified,BC300,3.2,0.01,7,20,4.33,1,2,300,2.95
biochar,Unmodified,perillaleaf-derivedbiocharsBC700,473.4,0.1,7,20,0.67,1,2,700,2.47
biochar,Unmodified,BC700,473.4,0.1,7,20,1.47,1,2,700,2.7
biochar,Unmodified,BC700,473.4,0.1,7,20,2.28,1,2,700,2.94
biochar,Unmodified,BC700,473.4,0.1,7,20,3.01,1,2,700,3.02
biochar,Unmodified,BC700,473.4,0.1,7,20,4.11,1,2,700,3.16
biochar,Modified,Fe/MnmodifiedCornstembiochar(FMBC),208,0.144,2,25,3.4,1,24,620,0.821
biochar,Modified,FMBC,208,0.144,2,25,5.19,1,24,620,1.38
biochar,Modified,FMBC,208,0.144,2,25,9.38,1,24,620,2.48
biochar,Modified,FMBC,208,0.144,2,25,14.1,1,24,620,3.47
biochar,Modified,FMBC,208,0.144,2,25,19.6,1,24,620,4.29
biochar,Modified,FMBC,208,0.144,2,25,26.8,1,24,620,4.72
biochar,Modified,FMBC,208,0.144,3,25,2.84,1,24,620,0.883
biochar,Modified,FMBC,208,0.144,3,25,3.64,1,24,620,1.72
biochar,Modified,FMBC,208,0.144,3,25,5.62,1,24,620,3.3
biochar,Modified,FMBC,208,0.144,3,25,8.95,1,24,620,4.56
biochar,Modified,FMBC,208,0.144,3,25,13.6,1,24,620,5.6
biochar,Modified,FMBC,208,0.144,3,25,18.5,1,24,620,6.51
biochar,Modified,FMBC,208,0.144,4,25,3.21,1,24,620,0.842
biochar,Modified,FMBC,208,0.144,4,25,4.2,1,24,620,1.6
biochar,Modified,FMBC,208,0.144,4,25,7.04,1,24,620,3.02
biochar,Modified,FMBC,208,0.144,4,25,11,1,24,620,4.15
biochar,Modified,FMBC,208,0.144,4,25,15.1,1,24,620,5.28
biochar,Modified,FMBC,208,0.144,4,25,20.8,1,24,620,6.01
biochar,Modified,FMBC,208,0.144,5,25,3.33,1,24,620,0.801
biochar,Modified,FMBC,208,0.144,5,25,4.44,1,24,620,1.54
biochar,Modified,FMBC,208,0.144,5,25,7.28,1,24,620,2.94
biochar,Modified,FMBC,208,0.144,5,25,11.2,1,24,620,4.09
biochar,Modified,FMBC,208,0.144,5,25,15.8,1,24,620,5.11
biochar,Modified,FMBC,208,0.144,5,25,21.8,1,24,620,5.81
biochar,Modified,FMBC,208,0.144,6,25,3.33,1,24,620,0.842
biochar,Modified,FMBC,208,0.144,6,25,4.38,1,24,620,1.6
biochar,Modified,FMBC,208,0.144,6,25,7.28,1,24,620,2.98
biochar,Modified,FMBC,208,0.144,6,25,11.2,1,24,620,4.11
biochar,Modified,FMBC,208,0.144,6,25,16.4,1,24,620,4.97
biochar,Modified,FMBC,208,0.144,6,25,22.8,1,24,620,5.56
biochar,Modified,CassiafistulapodsbiocharnoparticleFe,20.1,,8,26.85,2.779,4,0.5,300,0.669
biochar,Modified,CassiafistulapodsbiocharnoparticleFe,20.1,,10,26.85,2.779,4,0.5,300,0.643
biochar,Modified,Fe-Mnoxide-biocharcompositesF3M1BC18,7.53,,7,25,50,1,6,600,16.5
biochar,Modified,F3M1BC18,7.53,,7,25,50,1,6,600,26.95
biochar,Modified,F3M1BC18,7.53,,7,25,50,1,6,600,37.4
biochar,Modified,F3M1BC18,7.53,,7,25,50,1,6,600,42.5
biochar,Modified,F3M1BC18,7.53,,7,25,50,1,6,600,44.15
biochar,Modified,F3M1BC36,27.67,,7,25,50,2,6,600,4.425
biochar,Modified,F3M1BC36,27.67,,7,25,50,2,6,600,9.475
biochar,Modified,F3M1BC36,27.67,,7,25,50,2,6,600,13.4
biochar,Modified,F3M1BC36,27.67,,7,25,50,2,6,600,16.025
biochar,Modified,F3M1BC36,27.67,,7,25,50,2,6,600,17.65
biochar,Modified,F3M1BC54,29.32,,7,25,50,4,6,600,1.463
biochar,Modified,F3M1BC54,29.32,,7,25,50,4,6,600,3.938
biochar,Modified,F3M1BC54,29.32,,7,25,50,4,6,600,6.013
biochar,Modified,F3M1BC54,29.32,,7,25,50,4,6,600,7.25
biochar,Modified,F3M1BC54,29.32,,7,25,50,4,6,600,8.013
biochar,Modified,F3M1BC90,30.89,,7,25,50,6,6,600,0.364
biochar,Modified,F3M1BC90,30.89,,7,25,50,6,6,600,2.208
biochar,Modified,F3M1BC90,30.89,,7,25,50,6,6,600,3.617
biochar,Modified,F3M1BC90,30.89,,7,25,50,6,6,600,4.292
biochar,Modified,F3M1BC90,30.89,,7,25,50,6,6,600,4.858
biochar,Modified,F3M1BC180,60.67,,7,25,50,8,6,600,0.121
biochar,Modified,F3M1BC180,60.67,,7,25,50,8,6,600,1.0313
biochar,Modified,F3M1BC180,60.67,,7,25,50,8,6,600,1.713
biochar,Modified,F3M1BC180,60.67,,7,25,50,8,6,600,2.094
biochar,Modified,F3M1BC180,60.67,,7,25,50,8,6,600,2.244
biochar,Modified,MgO-embeddedbiochar(g-MgO-Bc)g-MgO-Bc-1.5,27.04,0.081,6.3,25,10.36,0.5,48,600,10.56
biochar,Modified,g-MgO-Bc-1.5,27.04,0.081,6.3,25,16.84,0.5,48,600,67.78
biochar,Modified,g-MgO-Bc-1.5,27.04,0.081,6.3,25,38.86,0.5,48,600,106.51
biochar,Modified,g-MgO-Bc-1.5,27.04,0.081,6.3,25,102.98,0.5,48,600,128.52
biochar,Modified,g-MgO-Bc-1.5,27.04,0.081,6.3,25,237.05,0.5,48,600,142.61
biochar,Modified,g-MgO-Bc-2.0,50.2,0.1827,6.3,25,10.363,0.5,48,600,12.32
biochar,Modified,g-MgO-Bc-2.0,50.2,0.1827,6.3,25,12.953,0.5,48,600,75.7
biochar,Modified,g-MgO-Bc-2.0,50.2,0.1827,6.3,25,28.497,0.5,48,600,123.24
biochar,Modified,g-MgO-Bc-2.0,50.2,0.1827,6.3,25,95.855,0.5,48,600,151.41
biochar,Modified,g-MgO-Bc-2.0,50.2,0.1827,6.3,25,223.446,0.5,48,600,170.77
biochar,Modified,g-MgO-Bc-2.5,60.89,0.2926,6.3,25,10.36,0.5,48,600,11.44
biochar,Modified,g-MgO-Bc-2.5,60.89,0.2926,6.3,25,11.01,0.5,48,600,65.14
biochar,Modified,g-MgO-Bc-2.5,60.89,0.2926,6.3,25,15.54,0.5,48,600,121.48
biochar,Modified,g-MgO-Bc-2.5,60.89,0.2926,6.3,25,41.45,0.5,48,600,204.23
biochar,Modified,g-MgO-Bc-2.5,60.89,0.2926,6.3,25,88.08,0.5,48,600,236.8
